x y
200 16.43747
400 20.75492
600 30.64502
800 33.86950
1000 41.29684
1200 39.56779
1400 49.805765
1600 53.50745 
1800 59.96561
2000 60.64253
2200 67.65646
2400 72.94315
2600 78.44023
2800 81.92437
3000 83.77334
3200 91.01378
3400 93.14194
3600 100.14371
3800 99.95401
4000 102.41778
4200 112.21670
4400 109.91045
4600 119.55977
4800 126.34441
5000 128.89618
5200 136.20249
5400 131.75472
5600 142.92908
5800 145.22831
6000 152.77315
6200 156.85703
6400 163.36820
6600 163.96356
6800 163.50111
7000 174.48939
7200 180.00352
7400 180.32905
7600 186.73226
7800 191.07543
8000 191.68466
