x y
50 0.067908
100 0.127266
150 0.192673
200 0.255918
250 0.317606
300 0.379625
350 0.441507
400 0.511125
450 0.569271
500 0.631196
550 0.708855
600 0.760750
650 0.822431
700 0.884928
750 0.948582
800 1.011883
850 1.073637
900 1.135230
950 1.201154
1000 1.263470
1050 1.328149
1100 1.390260
1150 1.453401
1200 1.516840
1250 1.577468
1300 1.627940
1350 1.688407
1400 1.749103
1450 1.814666
1500 1.883426
1550 1.942187
1600 2.000845
1650 2.071340
1700 2.132911
1750 2.193115
1800 2.251944
1850 2.412219
1900 2.451411
1950 2.435175
2000 2.495564
