x y
200 0.075473
400 0.112865
600 0.134637
800 0.1598865
1000 0.202031
1200 0.2378735
1400 0.27637
1600 0.323993
1800 0.362293
2000 0.387141
2200 0.457643
2400 0.49061
2600 0.509832
2800 0.5542765
3000 0.6117785
3200 0.6658535
3400 0.704323
3600 0.6950225
3800 0.727920
4000 0.783574
4200 0.788306
4400 0.790005
4600 0.8954
4800 0.8823065
5000 0.982287
5200 0.970235
5400 0.960648
5600 1.030365
5800 1.078075
6000 1.188712
6200 1.2193075
6400 1.175479
6600 1.2503985
6800 1.403695
7000 1.3254265
7200 1.416287
7400 1.3881485
7600 1.5531255
7800 1.519685
8000 1.5510555
